Name,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Total
The Royal Oak,124,152,413,243,474,800,415,2621
Colicci Roehampton Gate Café,279,246,215,275,256,653,686,2610
Goddard Veterinary Group Kingston,626,645,97,510,602,115,0,2595
The Lion,113,202,148,246,692,664,494,2559
The Marlborough,124,142,167,244,341,871,663,2552
The Norbiton,171,112,147,323,558,770,450,2531
Nationwide Building Society,613,479,429,511,329,130,0,2491
Zizzi,183,274,310,299,333,625,461,2485
RSPCA Monument Richmond,506,497,438,460,570,0,0,2471
Skipton Building Society - Kingston,471,476,435,547,538,0,0,2467
icon hairdressing,0,233,411,614,567,633,0,2458
Fratelli,278,429,484,322,421,506,0,2440
Holland & Barrett,424,0,424,627,416,542,0,2433
Pizza Express,181,240,276,287,339,649,460,2432
Genesis Capital Group,437,457,591,511,430,0,0,2426
Health On The Hill,539,412,465,420,334,251,0,2421
KANSET PHARMACY,488,419,633,389,274,213,0,2416
Buddhapadipa Temple,172,242,317,297,257,557,551,2393
Tucker French Surbiton,421,462,514,470,482,42,0,2391
Clarks,289,273,239,319,237,600,407,2364
Lloyds Bank,580,495,391,351,539,0,0,2356
White House Dental Practice,575,496,662,434,179,0,0,2346
HSBC Bank Plc,548,406,564,409,410,0,0,2337
Bar Estilo,222,227,253,271,400,605,331,2309
Yami Restaurant,166,217,138,252,242,657,631,2303
St Margarets Tavern,158,121,259,216,272,888,381,2295
Carbon Architecture Ltd,592,346,398,522,431,0,0,2289
BOSS Store,203,169,215,254,359,606,482,2288
Hampton Court Park (Home Park),0,0,446,441,325,479,586,2277
Pitcher & Piano Richmond,124,101,128,296,388,859,362,2258
LUSH Kingston,255,295,236,281,328,524,338,2257
Cotswold Outdoor Kingston Upon Thames,321,227,232,225,297,580,372,2254
Han Bar Restaurant & Karaoke,180,229,224,202,470,615,329,2249
The Cardinal Peppe Restaurant Kingston,0,100,156,130,417,800,645,2248
Richmond Music Trust,354,534,565,505,287,0,0,2245
The Eel Pie,101,189,207,304,419,734,275,2229
Lass O'Richmond Hill,178,227,136,226,313,554,581,2215
Surya Hot Yoga,291,251,338,228,158,445,427,2138
NakPhotography,221,230,312,420,346,333,248,2110
Richmond Vault Beer Cellar & Restaurant,0,136,203,235,399,732,403,2108
The Fox & Grapes Wimbledon,0,0,198,237,310,650,710,2105
Tangawizi Restaurant,0,260,267,312,446,468,333,2086
Roehampton Dental Care,590,370,429,317,324,0,0,2030
EKA Services Ltd,349,397,395,455,243,175,0,2014
Osteria Pulcinella,248,147,261,254,364,510,212,1996
Liles Morris Chartered Accountants,661,657,676,0,0,0,0,1994
CREATE Fertility,372,317,454,361,427,0,0,1931
