Name,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Total
Barrecore Wimbledon Village,197,221,178,0,89,0,0,685
"Saint Agatha's Catholic Church, Kingston upon Thames",15,52,127,27,39,36,285,581
"Putney Dental Care ""Dental Matters Ltd""",87,278,86,74,0,0,0,525
The Scrummery,33,55,30,77,63,239,26,523
Emmanuel Church of England,63,24,128,32,264,0,0,511
Cornerstone Church Kingston - The Hub,134,33,60,21,40,0,179,467
London Full Gospel Church Mission Centre,0,6,0,23,26,0,404,459
"Holy Trinity Church, Roehampton",189,33,10,22,112,0,0,366
Swiss Bread Bakery and Café,0,345,0,0,0,0,0,345
Kingston Muslim Association,16,11,17,13,198,26,28,309
