Name,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Total
Medivet Roehampton – Roehampton Veterinary Clinic,834,796,711,801,630,0,0,3772
Going Swimmingly London,343,366,478,461,438,987,693,3766
Apostles Barber Shop,448,524,696,538,509,691,358,3764
Haria Pharmacy - Part of Pearl Chemist Group,630,681,680,626,588,552,0,3757
Cake & Bingsoo Cafe,511,408,517,457,429,775,656,3753
Tudor Lodge Health Centre,653,697,807,824,703,68,0,3752
Momtaz Shisha Cafe & Rest,614,413,526,551,476,524,648,3752
APPI Physiotherapy and Pilates Wimbledon,819,740,721,743,619,105,0,3747
Foodland,659,677,565,507,538,586,214,3746
Fiesta Party Store,638,632,630,615,601,626,0,3742
Selco Builders Warehouse,669,649,735,688,584,309,100,3734
Dong Phuong,526,360,355,405,467,836,779,3728
"Royal Tennis Court, Hampton Court",332,512,372,684,352,832,640,3724
Bhuti,333,241,644,675,536,752,539,3720
Merityre Specialists Kingston,531,624,677,726,604,554,0,3716
Tibbets Corner (Admiral) Snackbar,629,652,659,649,741,384,0,3714
Paprika Store Twickenham,359,526,532,584,547,747,417,3712
Superdrug,587,511,677,480,551,603,302,3711
Aces barber,501,643,580,674,630,495,187,3710
Cote - Wimbledon,373,456,377,394,569,803,734,3706
Furniture Village New Malden,576,500,584,511,378,714,437,3700
Playing Field,622,480,745,706,333,385,419,3690
Anytime Fitness,561,751,565,665,397,343,405,3687
Twickenham Barbers & Ladies Hair Studio,358,434,570,543,643,741,397,3686
Curzon Richmond,357,425,471,518,495,827,582,3675
Lime & Thyme,257,321,483,562,654,848,550,3675
wagamama kingston upon thames,387,384,367,465,598,796,662,3659
Johnstone's Decorating Centre,711,649,652,691,582,371,0,3656
Alric Avenue Allotments,597,505,408,571,501,557,516,3655
The Rising Sun,333,369,436,467,638,840,562,3645
Just The Ticket,648,784,641,666,624,269,0,3632
Lexus Twickenham,639,692,669,697,555,227,147,3626
Cafe Joy,491,704,503,551,519,412,438,3618
Whitton Luxmy Food & Wine,510,507,439,692,620,476,373,3617
Bubbles Launderette,451,745,425,431,561,512,492,3617
Richmond Greens,352,476,356,392,492,664,876,3608
The Albion,186,402,417,484,709,773,635,3606
LloydsPharmacy,743,753,477,643,719,271,0,3606
Priyas,478,604,639,659,533,441,244,3598
Hampton Wick Surgery,764,688,829,519,792,0,0,3592
SPAR - Kingston Upon Thames,494,544,467,541,542,595,405,3588
The Mute Swan,270,296,317,393,640,916,749,3581
Partica Kingston,491,504,509,390,597,683,402,3576
Snappy Snaps,480,670,548,604,434,504,334,3574
Autoquick,393,687,744,622,596,528,0,3570
Eurotiles and Bathrooms,834,456,658,455,430,487,248,3568
Kwik Fit - Twickenham,554,526,643,543,498,530,272,3566
Gourmet Burger Kitchen (GBK),353,377,291,421,536,840,740,3558
Majestic Wine,431,373,528,515,713,623,372,3555
